model,question_id,category,score_pct,latency_seconds,prompt_tokens,output_tokens,retrieval_similarity
Phi-3 Mini,1,Explanation,66.7,109.694,737,118,
Phi-3 Mini,2,Explanation,66.7,14.398,736,91,
Phi-3 Mini,3,Explanation,50.0,15.102,739,98,
Phi-3 Mini,4,Code Retrieval,50.0,137.484,2525,30,
Phi-3 Mini,5,Code Retrieval,50.0,3.876,2519,4,
Phi-3 Mini,6,Code Retrieval,66.7,13.79,2533,39,
Phi-3 Mini,7,Dependency Understanding,50.0,126.118,2568,107,
Phi-3 Mini,8,Dependency Understanding,33.3,52.476,2568,148,
Phi-3 Mini,9,Dependency Understanding,100.0,41.631,2567,96,
Phi-3 Mini,10,Bug Analysis,33.3,46.805,2575,150,
Phi-3 Mini,11,Bug Analysis,100.0,27.796,2574,104,
Phi-3 Mini,12,Bug Analysis,66.7,44.548,2577,150,
Phi-3 Mini,13,Code Generation,33.3,72.434,2428,29,
Phi-3 Mini,14,Code Generation,50.0,30.132,2434,57,
Phi-3 Mini,15,Code Generation,66.7,13.241,2430,41,
Phi-3 Mini,16,Refactoring,66.7,83.825,2573,150,
Phi-3 Mini,17,Refactoring,66.7,58.008,2573,150,
Phi-3 Mini,18,Refactoring,50.0,41.239,2574,150,
Phi-3 Mini,19,RAG based Question,50.0,33.743,469,9,0.8569
Phi-3 Mini,20,RAG based Question,33.3,19.504,347,30,0.7966
Phi-3 Mini,21,RAG based Question,83.3,16.688,351,89,0.7336
StarCoder2,1,Explanation,0.0,13.538,679,33,
StarCoder2,2,Explanation,0.0,21.509,678,150,
StarCoder2,3,Explanation,0.0,6.848,681,31,
StarCoder2,4,Code Retrieval,50.0,120.839,2315,60,
StarCoder2,5,Code Retrieval,0.0,12.867,2311,29,
StarCoder2,6,Code Retrieval,66.7,23.174,2320,150,
StarCoder2,7,Dependency Understanding,25.0,46.746,2349,34,
StarCoder2,8,Dependency Understanding,33.3,15.753,2349,34,
StarCoder2,9,Dependency Understanding,25.0,9.895,2349,34,
StarCoder2,10,Bug Analysis,33.3,7.718,2355,40,
StarCoder2,11,Bug Analysis,66.7,11.377,2355,40,
StarCoder2,12,Bug Analysis,66.7,9.536,2359,43,
StarCoder2,13,Code Generation,66.7,54.43,2226,150,
StarCoder2,14,Code Generation,25.0,25.677,2232,150,
StarCoder2,15,Code Generation,66.7,26.668,2229,150,
StarCoder2,16,Refactoring,0.0,68.923,2353,150,
StarCoder2,17,Refactoring,33.3,30.696,2355,150,
StarCoder2,18,Refactoring,0.0,13.347,2357,41,
StarCoder2,19,RAG based Question,50.0,5.994,432,34,0.8569
StarCoder2,20,RAG based Question,33.3,15.176,327,150,0.7966
StarCoder2,21,RAG based Question,33.3,16.506,331,38,0.7336
Code Llama,1,Explanation,66.7,118.839,748,150,
Code Llama,2,Explanation,66.7,45.771,747,150,
Code Llama,3,Explanation,25.0,40.562,750,150,
Code Llama,4,Code Retrieval,MISSING,,,,
Code Llama,5,Code Retrieval,50.0,10.154,2530,16,
Code Llama,6,Code Retrieval,100.0,56.702,2544,115,
Code Llama,7,Dependency Understanding,50.0,126.408,2579,102,
Code Llama,8,Dependency Understanding,33.3,27.153,2579,51,
Code Llama,9,Dependency Understanding,75.0,49.055,2578,116,
Code Llama,10,Bug Analysis,33.3,65.361,2586,150,
Code Llama,11,Bug Analysis,66.7,49.831,2585,101,
Code Llama,12,Bug Analysis,66.7,27.095,2588,46,
Code Llama,13,Code Generation,100.0,135.515,2439,150,
Code Llama,14,Code Generation,100.0,65.125,2445,150,
Code Llama,15,Code Generation,66.7,62.891,2441,150,
Code Llama,16,Refactoring,33.3,152.516,2584,150,
Code Llama,17,Refactoring,66.7,66.188,2584,150,
Code Llama,18,Refactoring,25.0,64.497,2585,150,
Code Llama,19,RAG based Question,100.0,10.142,480,27,0.8569
Code Llama,20,RAG based Question,33.3,33.501,358,25,0.7966
Code Llama,21,RAG based Question,83.3,14.611,362,45,0.7336
